Code	Move	Type	I.O.					P.H.	Resources			Infrastructure
344	"Express intent to change institutions, regime"	Express intent to cooperate	C	D	C	C	C	B	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
35	Express intent to yield	Express intent to cooperate	C	C	D	C	D	B	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
356	Express intent to de-escalate military engagement	Express intent to cooperate	C	C	D	B	D	B	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
355	Expresss intent to allow international involvement	Express intent to cooperate	C	C	D	B	B	B	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
31	Express intent to engage in material cooperation	Express intent to cooperate	C	B	B	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
33	Express intent to provide material aid	Express intent to cooperate	C	B	B	D	B	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
311	Express intent to cooperate economically	Express intent to cooperate	C	B	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
331	Express intent to provide economic aid	Express intent to cooperate	C	B	B	D	B	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
313	Express intent to cooperate on judicial matters	Express intent to cooperate	D	C	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
353	Express intent to release persons or property	Express intent to cooperate	C	C	D	C	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
343	Express intent to provide rights	Express intent to cooperate	C	C	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
342	Express intent to change policy	Express intent to cooperate	C	D	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
32	Express intent to engage in diplomatic cooperation (such as policy support)	Express intent to cooperate	D	C	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
352	Express intent to ease popular dissent	Express intent to cooperate	D	D	C	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3431	Express intent to provide diplomatic guidence	Express intent to cooperate	D	D	D	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
351	Express intent to ease administrative sanctions	Express intent to cooperate	C	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
354	"Express intent to ease economic sanctions, boycott, or embargo"	Express intent to cooperate	C	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
333	Express intent to provide humanitarian aid	Express intent to cooperate	D	C	D	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
36	Express intent to meet or negotiate	Express intent to cooperate	D	C	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
37	Express intent to settle dispute	Express intent to cooperate	D	C	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
38	Express intent to accept mediation	Express intent to cooperate	C	C	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
39	Express intent to mediate	Express intent to cooperate	C	C	D	C	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
314	Express intent to cooperate on intelligence	Express intent to cooperate	D	D	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
312	Express intent to cooperate militarily	Express intent to cooperate	D	D	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
332	Express intent to provide military protection or peacekeeping	Express intent to cooperate	D	D	D	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
												
3091	Express intent to build infrastructure	Express intent to build infrastructure	D	C	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3092	Express intent to build energy infrastructure	Express intent to build infrastructure	C	C	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3112	Express intent to build/increase economic infrastructure	Express intent to build infrastructure	C	C	C	D	B	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3096	Express intent to build social infrastructure	Express intent to build infrastructure	D	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3109	Express intent to build/increase information infrastructure	Express intent to build infrastructure	D	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3101	Express intent to build political infrastructure	Express intent to build infrastructure	D	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
3105	Express intent to build military infrastructure	Express intent to build infrastructure	D	C	C	D	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
												
40	Consult	Consult	D	D	D	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
402	Consult with cabinet	Consult	C	D	D	C	D	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
41	Discuss by telephone	Consult	C	C	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
42	Make a visit	Consult	C	C	D	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, EARGCA, EARPCA, MARENL"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	"Communication, Transportation"
43	Host a visit	Consult	C	C	D	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, EARGCA, EARPCA, MARENL"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	Communication
44	"Meet at a ""third"" location"	Consult	C	C	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC, EARGCA, EARPCA, MARENL"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC,  EARGCA, EARPCA, MARENL"	"Communication, Transportation"
45	Mediate	Consult	C	C	C	C	C	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
46	Engage in negotiation	Consult	D	C	D	C	D	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
403	"Call for a meeting (international organization, alliance etc.)"	Consult	D	C	C	C	D	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
401	Consult with allies	Consult	D	D	C	C	D	C	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
												
50	Engage in diplomatic cooperation	Engage in diplomatic cooperation	D	C	C	C	D	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
55	Apologize	Engage in diplomatic cooperation	C	C	D	B	C	D	"PARLOP, PARML2, PARBL2, PARRL2, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARLOP, PARMFA, PARMFA, PARMOD, PARMOF, PARPAR, PARCBM, MARML1, PARRL1, PARBL1, PARJDL, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	"PARPRS, PARPMS, PARGOV, IARSTM, IARVID, IARPID, IARRID IARSMP, IPRSMF, IARPRP, IPRAUD, IARPLC"	Communication
